dataset,MrSEQLClassifier,knn,resnet,rocket,weasel
CBF,1.00,0.85,0.97,1.00,0.98
TwoPatterns,1.00,0.91,0.99,1.00,1.00
ECG200,0.89,0.88,0.83,0.90,0.89
ECG5000,0.94,0.92,0.92,0.95,0.95
ECGFiveDays,1.00,0.80,0.92,1.00,0.97
TwoLeadECG,0.99,0.75,0.94,1.00,1.00
GunPoint,0.99,0.91,0.97,1.00,1.00
CMJ,0.96,0.92,0.92,0.97,0.97
PowerCons,0.88,0.98,0.91,0.96,0.93
Coffee,1.00,1.00,0.96,1.00,1.00
Strawberry,0.96,0.95,0.94,0.98,0.98
Car,0.85,0.73,0.40,0.90,0.92
ItalyPowerDemand,0.91,0.96,0.95,0.97,0.96
Plane,1.00,0.96,0.87,1.00,1.00
SonyAIBORobotSurface1,0.75,0.70,0.89,0.92,0.94
SonyAIBORobotSurface2,0.88,0.86,0.88,0.92,0.95
Trace,1.00,0.76,0.75,1.00,1.00
