dataset,random2020,GS,IG,lime_mrseql,lime_rocket,mrseql-shap,rocket-shap,mrseql,ridgecv,GT
SM_CAR,0.00,0.73,0.73,0.39,0.58,0.72,0.76,0.31,0.79,1.00
SM_NARMA,0.00,0.61,0.62,0.33,0.45,0.64,0.71,0.30,0.78,1.00
SM_Harmonic,0.00,0.87,0.86,0.26,0.54,0.41,0.76,0.53,0.91,1.00
SM_PseudoPeriodic,0.00,0.83,0.84,0.28,0.53,0.40,0.77,0.21,0.85,1.00
SM_GaussianProcess,0.00,0.43,0.53,0.25,0.54,0.23,0.80,0.48,0.50,1.00
RT_CAR,0.00,0.92,0.93,0.81,0.81,0.85,0.85,0.14,0.95,1.00
RT_NARMA,0.00,0.90,0.92,0.79,0.61,0.85,0.84,0.17,0.93,1.00
RT_Harmonic,0.00,0.93,0.94,0.32,0.65,0.55,0.84,0.50,1.00,0.94
RT_PseudoPeriodic,0.00,0.92,0.96,0.28,0.79,0.54,0.92,0.34,0.97,1.00
RT_GaussianProcess,0.00,0.73,0.67,0.09,0.81,0.39,0.98,0.65,0.85,1.00
