dataset,random,GradientShap,IntegratedGradient,mrseql-lime,rocket-lime,mrseql-shap,rocket-shap,mrseql,ridgecv,GT
SM_CAR,0.36,0.81,0.83,0.59,0.70,0.83,0.83,0.50,0.86,1.00
SM_NARMA,0.36,0.75,0.77,0.61,0.66,0.83,0.83,0.43,0.84,1.00
SM_Harmonic,0.36,0.56,0.59,0.51,0.52,0.63,0.80,0.44,0.61,1.00
SM_PseudoPeriodic,0.36,0.54,0.56,0.45,0.58,0.58,0.74,0.55,0.56,1.00
SM_GaussianProcess,0.36,0.19,0.24,0.42,0.50,0.38,0.65,0.61,0.16,1.00
RT_CAR,0.21,0.84,0.87,0.59,0.64,0.74,0.72,0.16,0.92,1.00
RT_NARMA,0.21,0.78,0.85,0.60,0.50,0.72,0.74,0.16,0.91,1.00
RT_Harmonic,0.21,0.42,0.47,0.29,0.39,0.46,0.69,0.29,0.65,1.00
RT_PseudoPeriodic,0.21,0.51,0.55,0.25,0.47,0.37,0.63,0.29,0.68,1.00
RT_GaussianProcess,0.21,0.21,0.20,0.22,0.37,0.25,0.51,0.34,0.33,1.00
