dataset,random,GradientShap,IntegratedGradient,mrseql-lime,rocket-lime,mrseql-shap,rocket-shap,mrseql,ridgecv,GT
SM_CAR,0.28,0.94,0.95,0.54,0.62,1.00,1.00,0.40,1.00,1.00
SM_NARMA,0.28,0.81,0.83,0.53,0.60,1.00,1.00,0.37,1.00,1.00
SM_Harmonic,0.28,0.91,0.94,0.43,0.49,0.69,1.00,0.36,1.00,1.00
SM_PseudoPeriodic,0.28,0.90,0.91,0.38,0.59,0.62,1.00,0.46,1.00,1.00
SM_GaussianProcess,0.28,0.40,0.42,0.35,0.45,0.36,0.71,0.49,0.57,1.00
RT_CAR,0.13,0.97,1.00,0.43,0.48,0.60,0.60,0.10,1.00,1.00
RT_NARMA,0.13,0.88,0.99,0.44,0.35,0.60,0.60,0.11,1.00,1.00
RT_Harmonic,0.13,0.67,0.78,0.19,0.32,0.34,0.59,0.19,1.00,1.00
RT_PseudoPeriodic,0.13,0.66,0.70,0.16,0.34,0.27,0.58,0.19,1.00,1.00
RT_GaussianProcess,0.13,0.23,0.22,0.14,0.24,0.17,0.40,0.21,0.58,1.00
