dataset,random,GradientShap,IntegratedGradient,mrseql-lime,rocket-lime,mrseql-shap,rocket-shap,mrseql,ridgecv,GT
SM_CAR,0.50,0.71,0.73,0.66,0.81,0.71,0.71,0.64,0.76,1.00
SM_NARMA,0.50,0.70,0.72,0.73,0.75,0.71,0.71,0.52,0.72,1.00
SM_Harmonic,0.50,0.41,0.43,0.64,0.55,0.57,0.67,0.58,0.44,1.00
SM_PseudoPeriodic,0.50,0.38,0.40,0.56,0.56,0.55,0.59,0.68,0.39,1.00
SM_GaussianProcess,0.50,0.13,0.17,0.54,0.56,0.41,0.60,0.81,0.09,1.00
RT_CAR,0.55,0.74,0.78,0.93,0.98,0.96,0.90,0.35,0.85,1.00
RT_NARMA,0.55,0.70,0.75,0.94,0.84,0.90,0.95,0.32,0.83,1.00
RT_Harmonic,0.55,0.31,0.34,0.61,0.51,0.69,0.83,0.70,0.48,1.00
RT_PseudoPeriodic,0.55,0.42,0.45,0.52,0.74,0.57,0.68,0.65,0.52,1.00
RT_GaussianProcess,0.55,0.19,0.19,0.54,0.73,0.45,0.71,0.87,0.23,1.00
