dataset,random2020,GS,IG,lime_mrseql,lime_rocket,mrseql-shap,rocket-shap,mrseql,ridgecv
CBF,0.00,0.77,0.72,0.70,0.90,1.00,0.84,0.77,0.27
TwoPatterns,0.00,0.86,0.85,0.89,0.95,0.83,1.00,0.88,0.52
ECG200,0.00,0.13,0.17,0.67,0.57,0.84,1.00,0.46,0.45
ECG5000,0.00,1.00,0.99,0.67,0.57,0.61,0.82,0.30,0.29
ECGFiveDays,0.54,0.77,0.71,0.39,0.54,0.91,1.00,0.00,0.27
TwoLeadECG,0.39,0.17,0.18,0.44,0.40,0.92,1.00,0.05,0.00
GunPoint,0.81,0.74,1.00,0.77,0.00,0.92,0.84,0.89,0.56
CMJ,0.24,0.06,0.00,0.99,0.56,1.00,0.84,0.90,0.31
PowerCons,0.50,0.69,0.68,0.37,0.76,0.45,1.00,0.00,0.66
Coffee,0.00,0.36,0.53,0.53,0.37,0.86,1.00,0.72,0.57
Strawberry,0.65,0.41,0.43,0.91,0.66,1.00,0.40,0.70,0.00
Car,0.45,0.15,0.00,0.42,0.36,1.00,0.74,0.33,0.44
ItalyPower,0.27,1.00,0.95,0.16,0.13,0.11,0.29,0.00,0.54
Plane,0.75,0.80,0.78,0.50,0.00,0.67,1.00,0.19,0.32
Sony1,0.23,0.84,0.80,0.21,0.52,0.32,1.00,0.00,0.83
Sony2,0.32,0.99,1.00,0.45,0.41,0.37,0.82,0.00,0.57
Trace,0.33,0.25,0.21,0.77,0.26,1.00,0.79,0.16,0.00
