dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,rocket,0.614
Moving_SmallMiddle_CAR,local_mean,mrseql,rocket,0.6620000000000001
Moving_SmallMiddle_CAR,local_mean,GS,rocket,0.504
Moving_SmallMiddle_CAR,local_mean,IG,rocket,0.49899999999999994
Moving_SmallMiddle_CAR,local_mean,lime_rocket,rocket,0.51
Moving_SmallMiddle_CAR,local_mean,ridgecv,rocket,0.542
Moving_SmallMiddle_CAR,local_mean,random2020,rocket,0.6910000000000001
Moving_SmallMiddle_CAR,global_mean,lime_mrseql,rocket,0.6150000000000001
Moving_SmallMiddle_CAR,global_mean,mrseql,rocket,0.6839999999999999
Moving_SmallMiddle_CAR,global_mean,GS,rocket,0.51
Moving_SmallMiddle_CAR,global_mean,IG,rocket,0.504
Moving_SmallMiddle_CAR,global_mean,lime_rocket,rocket,0.518
Moving_SmallMiddle_CAR,global_mean,ridgecv,rocket,0.5409999999999999
Moving_SmallMiddle_CAR,global_mean,random2020,rocket,0.6890000000000001
Moving_SmallMiddle_CAR,global_gaussian,lime_mrseql,rocket,0.5495000000000001
Moving_SmallMiddle_CAR,global_gaussian,mrseql,rocket,0.6064999999999999
Moving_SmallMiddle_CAR,global_gaussian,GS,rocket,0.4774999999999999
Moving_SmallMiddle_CAR,global_gaussian,IG,rocket,0.47350000000000003
Moving_SmallMiddle_CAR,global_gaussian,lime_rocket,rocket,0.5225
Moving_SmallMiddle_CAR,global_gaussian,ridgecv,rocket,0.5145
Moving_SmallMiddle_CAR,global_gaussian,random2020,rocket,0.6105
Moving_SmallMiddle_CAR,local_gaussian,lime_mrseql,rocket,0.5555000000000001
Moving_SmallMiddle_CAR,local_gaussian,mrseql,rocket,0.6215
Moving_SmallMiddle_CAR,local_gaussian,GS,rocket,0.4965
Moving_SmallMiddle_CAR,local_gaussian,IG,rocket,0.4855
Moving_SmallMiddle_CAR,local_gaussian,lime_rocket,rocket,0.5295
Moving_SmallMiddle_CAR,local_gaussian,ridgecv,rocket,0.5115
Moving_SmallMiddle_CAR,local_gaussian,random2020,rocket,0.6114999999999999
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,resnet,0.534
Moving_SmallMiddle_CAR,local_mean,mrseql,resnet,0.625
Moving_SmallMiddle_CAR,local_mean,GS,resnet,0.49
Moving_SmallMiddle_CAR,local_mean,IG,resnet,0.471
Moving_SmallMiddle_CAR,local_mean,lime_rocket,resnet,0.49699999999999994
Moving_SmallMiddle_CAR,local_mean,ridgecv,resnet,0.4779999999999999
Moving_SmallMiddle_CAR,local_mean,random2020,resnet,0.5860000000000001
Moving_SmallMiddle_CAR,global_mean,lime_mrseql,resnet,0.534
Moving_SmallMiddle_CAR,global_mean,mrseql,resnet,0.625
Moving_SmallMiddle_CAR,global_mean,GS,resnet,0.49
Moving_SmallMiddle_CAR,global_mean,IG,resnet,0.471
Moving_SmallMiddle_CAR,global_mean,lime_rocket,resnet,0.49699999999999994
Moving_SmallMiddle_CAR,global_mean,ridgecv,resnet,0.4779999999999999
Moving_SmallMiddle_CAR,global_mean,random2020,resnet,0.5840000000000001
Moving_SmallMiddle_CAR,global_gaussian,lime_mrseql,resnet,0.5215000000000001
Moving_SmallMiddle_CAR,global_gaussian,mrseql,resnet,0.6204999999999999
Moving_SmallMiddle_CAR,global_gaussian,GS,resnet,0.48249999999999993
Moving_SmallMiddle_CAR,global_gaussian,IG,resnet,0.46449999999999997
Moving_SmallMiddle_CAR,global_gaussian,lime_rocket,resnet,0.4955
Moving_SmallMiddle_CAR,global_gaussian,ridgecv,resnet,0.4805
Moving_SmallMiddle_CAR,global_gaussian,random2020,resnet,0.5855
Moving_SmallMiddle_CAR,local_gaussian,lime_mrseql,resnet,0.531
Moving_SmallMiddle_CAR,local_gaussian,mrseql,resnet,0.621
Moving_SmallMiddle_CAR,local_gaussian,GS,resnet,0.48899999999999993
Moving_SmallMiddle_CAR,local_gaussian,IG,resnet,0.471
Moving_SmallMiddle_CAR,local_gaussian,lime_rocket,resnet,0.496
Moving_SmallMiddle_CAR,local_gaussian,ridgecv,resnet,0.48
Moving_SmallMiddle_CAR,local_gaussian,random2020,resnet,0.588
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,knn,0.5365
Moving_SmallMiddle_CAR,local_mean,mrseql,knn,0.6295000000000002
Moving_SmallMiddle_CAR,local_mean,GS,knn,0.5305
Moving_SmallMiddle_CAR,local_mean,IG,knn,0.5255000000000001
Moving_SmallMiddle_CAR,local_mean,lime_rocket,knn,0.5305
Moving_SmallMiddle_CAR,local_mean,ridgecv,knn,0.5674999999999999
Moving_SmallMiddle_CAR,local_mean,random2020,knn,0.5785
Moving_SmallMiddle_CAR,global_mean,lime_mrseql,knn,0.5415
Moving_SmallMiddle_CAR,global_mean,mrseql,knn,0.6154999999999999
Moving_SmallMiddle_CAR,global_mean,GS,knn,0.5065
Moving_SmallMiddle_CAR,global_mean,IG,knn,0.5115000000000001
Moving_SmallMiddle_CAR,global_mean,lime_rocket,knn,0.5155000000000001
Moving_SmallMiddle_CAR,global_mean,ridgecv,knn,0.5445
Moving_SmallMiddle_CAR,global_mean,random2020,knn,0.5695000000000001
Moving_SmallMiddle_CAR,global_gaussian,lime_mrseql,knn,0.5565
Moving_SmallMiddle_CAR,global_gaussian,mrseql,knn,0.5865
Moving_SmallMiddle_CAR,global_gaussian,GS,knn,0.49949999999999994
Moving_SmallMiddle_CAR,global_gaussian,IG,knn,0.47450000000000003
Moving_SmallMiddle_CAR,global_gaussian,lime_rocket,knn,0.5345000000000001
Moving_SmallMiddle_CAR,global_gaussian,ridgecv,knn,0.5155
Moving_SmallMiddle_CAR,global_gaussian,random2020,knn,0.5905
Moving_SmallMiddle_CAR,local_gaussian,lime_mrseql,knn,0.542
Moving_SmallMiddle_CAR,local_gaussian,mrseql,knn,0.5760000000000001
Moving_SmallMiddle_CAR,local_gaussian,GS,knn,0.515
Moving_SmallMiddle_CAR,local_gaussian,IG,knn,0.484
Moving_SmallMiddle_CAR,local_gaussian,lime_rocket,knn,0.548
Moving_SmallMiddle_CAR,local_gaussian,ridgecv,knn,0.526
Moving_SmallMiddle_CAR,local_gaussian,random2020,knn,0.5870000000000001
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,MrSEQLClassifier,0.5525
Moving_SmallMiddle_CAR,local_mean,mrseql,MrSEQLClassifier,0.5704999999999999
Moving_SmallMiddle_CAR,local_mean,GS,MrSEQLClassifier,0.4865
Moving_SmallMiddle_CAR,local_mean,IG,MrSEQLClassifier,0.49849999999999994
Moving_SmallMiddle_CAR,local_mean,lime_rocket,MrSEQLClassifier,0.5495000000000001
Moving_SmallMiddle_CAR,local_mean,ridgecv,MrSEQLClassifier,0.5505
Moving_SmallMiddle_CAR,local_mean,random2020,MrSEQLClassifier,0.5834999999999999
Moving_SmallMiddle_CAR,global_mean,lime_mrseql,MrSEQLClassifier,0.5075
Moving_SmallMiddle_CAR,global_mean,mrseql,MrSEQLClassifier,0.5235
Moving_SmallMiddle_CAR,global_mean,GS,MrSEQLClassifier,0.48249999999999993
Moving_SmallMiddle_CAR,global_mean,IG,MrSEQLClassifier,0.4905
Moving_SmallMiddle_CAR,global_mean,lime_rocket,MrSEQLClassifier,0.5225
Moving_SmallMiddle_CAR,global_mean,ridgecv,MrSEQLClassifier,0.5115
Moving_SmallMiddle_CAR,global_mean,random2020,MrSEQLClassifier,0.5645000000000001
Moving_SmallMiddle_CAR,global_gaussian,lime_mrseql,MrSEQLClassifier,0.581
Moving_SmallMiddle_CAR,global_gaussian,mrseql,MrSEQLClassifier,0.603
Moving_SmallMiddle_CAR,global_gaussian,GS,MrSEQLClassifier,0.564
Moving_SmallMiddle_CAR,global_gaussian,IG,MrSEQLClassifier,0.537
Moving_SmallMiddle_CAR,global_gaussian,lime_rocket,MrSEQLClassifier,0.5790000000000001
Moving_SmallMiddle_CAR,global_gaussian,ridgecv,MrSEQLClassifier,0.554
Moving_SmallMiddle_CAR,global_gaussian,random2020,MrSEQLClassifier,0.576
Moving_SmallMiddle_CAR,local_gaussian,lime_mrseql,MrSEQLClassifier,0.5680000000000001
Moving_SmallMiddle_CAR,local_gaussian,mrseql,MrSEQLClassifier,0.5880000000000001
Moving_SmallMiddle_CAR,local_gaussian,GS,MrSEQLClassifier,0.551
Moving_SmallMiddle_CAR,local_gaussian,IG,MrSEQLClassifier,0.5289999999999999
Moving_SmallMiddle_CAR,local_gaussian,lime_rocket,MrSEQLClassifier,0.5670000000000001
Moving_SmallMiddle_CAR,local_gaussian,ridgecv,MrSEQLClassifier,0.554
Moving_SmallMiddle_CAR,local_gaussian,random2020,MrSEQLClassifier,0.56
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,weasel,0.6970000000000001
Moving_SmallMiddle_CAR,local_mean,mrseql,weasel,0.644
Moving_SmallMiddle_CAR,local_mean,GS,weasel,0.544
Moving_SmallMiddle_CAR,local_mean,IG,weasel,0.547
Moving_SmallMiddle_CAR,local_mean,lime_rocket,weasel,0.571
Moving_SmallMiddle_CAR,local_mean,ridgecv,weasel,0.581
Moving_SmallMiddle_CAR,local_mean,random2020,weasel,0.671
Moving_SmallMiddle_CAR,global_mean,lime_mrseql,weasel,0.671
Moving_SmallMiddle_CAR,global_mean,mrseql,weasel,0.635
Moving_SmallMiddle_CAR,global_mean,GS,weasel,0.547
Moving_SmallMiddle_CAR,global_mean,IG,weasel,0.5489999999999999
Moving_SmallMiddle_CAR,global_mean,lime_rocket,weasel,0.598
Moving_SmallMiddle_CAR,global_mean,ridgecv,weasel,0.5900000000000001
Moving_SmallMiddle_CAR,global_mean,random2020,weasel,0.659
Moving_SmallMiddle_CAR,global_gaussian,lime_mrseql,weasel,0.5725
Moving_SmallMiddle_CAR,global_gaussian,mrseql,weasel,0.6025
Moving_SmallMiddle_CAR,global_gaussian,GS,weasel,0.49049999999999994
Moving_SmallMiddle_CAR,global_gaussian,IG,weasel,0.4945
Moving_SmallMiddle_CAR,global_gaussian,lime_rocket,weasel,0.5095000000000001
Moving_SmallMiddle_CAR,global_gaussian,ridgecv,weasel,0.4885
Moving_SmallMiddle_CAR,global_gaussian,random2020,weasel,0.5885
Moving_SmallMiddle_CAR,local_gaussian,lime_mrseql,weasel,0.573
Moving_SmallMiddle_CAR,local_gaussian,mrseql,weasel,0.6070000000000001
Moving_SmallMiddle_CAR,local_gaussian,GS,weasel,0.491
Moving_SmallMiddle_CAR,local_gaussian,IG,weasel,0.494
Moving_SmallMiddle_CAR,local_gaussian,lime_rocket,weasel,0.499
Moving_SmallMiddle_CAR,local_gaussian,ridgecv,weasel,0.503
Moving_SmallMiddle_CAR,local_gaussian,random2020,weasel,0.592
