dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,0.776
SmallMiddle_CAR,local_mean,mrseql,rocket,0.788
SmallMiddle_CAR,local_mean,GS,rocket,0.6929999999999998
SmallMiddle_CAR,local_mean,IG,rocket,0.692
SmallMiddle_CAR,local_mean,lime_rocket,rocket,0.6819999999999999
SmallMiddle_CAR,local_mean,ridgecv,rocket,0.6719999999999999
SmallMiddle_CAR,local_mean,random2020,rocket,0.917
SmallMiddle_CAR,global_mean,lime_mrseql,rocket,0.817
SmallMiddle_CAR,global_mean,mrseql,rocket,0.7689999999999999
SmallMiddle_CAR,global_mean,GS,rocket,0.6069999999999999
SmallMiddle_CAR,global_mean,IG,rocket,0.631
SmallMiddle_CAR,global_mean,lime_rocket,rocket,0.711
SmallMiddle_CAR,global_mean,ridgecv,rocket,0.6119999999999999
SmallMiddle_CAR,global_mean,random2020,rocket,0.9530000000000001
SmallMiddle_CAR,global_gaussian,lime_mrseql,rocket,0.7284999999999999
SmallMiddle_CAR,global_gaussian,mrseql,rocket,0.7694999999999999
SmallMiddle_CAR,global_gaussian,GS,rocket,0.6355000000000001
SmallMiddle_CAR,global_gaussian,IG,rocket,0.6405000000000001
SmallMiddle_CAR,global_gaussian,lime_rocket,rocket,0.6765000000000001
SmallMiddle_CAR,global_gaussian,ridgecv,rocket,0.6265
SmallMiddle_CAR,global_gaussian,random2020,rocket,0.9065
SmallMiddle_CAR,local_gaussian,lime_mrseql,rocket,0.7049999999999998
SmallMiddle_CAR,local_gaussian,mrseql,rocket,0.751
SmallMiddle_CAR,local_gaussian,GS,rocket,0.625
SmallMiddle_CAR,local_gaussian,IG,rocket,0.6309999999999999
SmallMiddle_CAR,local_gaussian,lime_rocket,rocket,0.647
SmallMiddle_CAR,local_gaussian,ridgecv,rocket,0.5919999999999999
SmallMiddle_CAR,local_gaussian,random2020,rocket,0.877
SmallMiddle_CAR,local_mean,lime_mrseql,resnet,0.651
SmallMiddle_CAR,local_mean,mrseql,resnet,0.6940000000000001
SmallMiddle_CAR,local_mean,GS,resnet,0.529
SmallMiddle_CAR,local_mean,IG,resnet,0.533
SmallMiddle_CAR,local_mean,lime_rocket,resnet,0.6130000000000001
SmallMiddle_CAR,local_mean,ridgecv,resnet,0.506
SmallMiddle_CAR,local_mean,random2020,resnet,0.7929999999999999
SmallMiddle_CAR,global_mean,lime_mrseql,resnet,0.625
SmallMiddle_CAR,global_mean,mrseql,resnet,0.68
SmallMiddle_CAR,global_mean,GS,resnet,0.512
SmallMiddle_CAR,global_mean,IG,resnet,0.516
SmallMiddle_CAR,global_mean,lime_rocket,resnet,0.59
SmallMiddle_CAR,global_mean,ridgecv,resnet,0.498
SmallMiddle_CAR,global_mean,random2020,resnet,0.769
SmallMiddle_CAR,global_gaussian,lime_mrseql,resnet,0.6455
SmallMiddle_CAR,global_gaussian,mrseql,resnet,0.7124999999999999
SmallMiddle_CAR,global_gaussian,GS,resnet,0.5455
SmallMiddle_CAR,global_gaussian,IG,resnet,0.5485
SmallMiddle_CAR,global_gaussian,lime_rocket,resnet,0.6025
SmallMiddle_CAR,global_gaussian,ridgecv,resnet,0.5235000000000001
SmallMiddle_CAR,global_gaussian,random2020,resnet,0.7765
SmallMiddle_CAR,local_gaussian,lime_mrseql,resnet,0.665
SmallMiddle_CAR,local_gaussian,mrseql,resnet,0.7250000000000001
SmallMiddle_CAR,local_gaussian,GS,resnet,0.571
SmallMiddle_CAR,local_gaussian,IG,resnet,0.575
SmallMiddle_CAR,local_gaussian,lime_rocket,resnet,0.616
SmallMiddle_CAR,local_gaussian,ridgecv,resnet,0.5660000000000001
SmallMiddle_CAR,local_gaussian,random2020,resnet,0.784
SmallMiddle_CAR,local_mean,lime_mrseql,knn,0.81
SmallMiddle_CAR,local_mean,mrseql,knn,0.8009999999999999
SmallMiddle_CAR,local_mean,GS,knn,0.6929999999999998
SmallMiddle_CAR,local_mean,IG,knn,0.6929999999999998
SmallMiddle_CAR,local_mean,lime_rocket,knn,0.735
SmallMiddle_CAR,local_mean,ridgecv,knn,0.6839999999999999
SmallMiddle_CAR,local_mean,random2020,knn,0.93
SmallMiddle_CAR,global_mean,lime_mrseql,knn,0.8639999999999999
SmallMiddle_CAR,global_mean,mrseql,knn,0.819
SmallMiddle_CAR,global_mean,GS,knn,0.728
SmallMiddle_CAR,global_mean,IG,knn,0.7269999999999999
SmallMiddle_CAR,global_mean,lime_rocket,knn,0.763
SmallMiddle_CAR,global_mean,ridgecv,knn,0.6849999999999998
SmallMiddle_CAR,global_mean,random2020,knn,0.961
SmallMiddle_CAR,global_gaussian,lime_mrseql,knn,0.8145
SmallMiddle_CAR,global_gaussian,mrseql,knn,0.7845
SmallMiddle_CAR,global_gaussian,GS,knn,0.6525000000000001
SmallMiddle_CAR,global_gaussian,IG,knn,0.6575
SmallMiddle_CAR,global_gaussian,lime_rocket,knn,0.7235
SmallMiddle_CAR,global_gaussian,ridgecv,knn,0.6225
SmallMiddle_CAR,global_gaussian,random2020,knn,0.9275000000000001
SmallMiddle_CAR,local_gaussian,lime_mrseql,knn,0.77
SmallMiddle_CAR,local_gaussian,mrseql,knn,0.784
SmallMiddle_CAR,local_gaussian,GS,knn,0.645
SmallMiddle_CAR,local_gaussian,IG,knn,0.6500000000000001
SmallMiddle_CAR,local_gaussian,lime_rocket,knn,0.681
SmallMiddle_CAR,local_gaussian,ridgecv,knn,0.619
SmallMiddle_CAR,local_gaussian,random2020,knn,0.8959999999999999
SmallMiddle_CAR,local_mean,lime_mrseql,MrSEQLClassifier,0.649
SmallMiddle_CAR,local_mean,mrseql,MrSEQLClassifier,0.708
SmallMiddle_CAR,local_mean,GS,MrSEQLClassifier,0.584
SmallMiddle_CAR,local_mean,IG,MrSEQLClassifier,0.569
SmallMiddle_CAR,local_mean,lime_rocket,MrSEQLClassifier,0.6439999999999999
SmallMiddle_CAR,local_mean,ridgecv,MrSEQLClassifier,0.582
SmallMiddle_CAR,local_mean,random2020,MrSEQLClassifier,0.812
SmallMiddle_CAR,global_mean,lime_mrseql,MrSEQLClassifier,0.5680000000000001
SmallMiddle_CAR,global_mean,mrseql,MrSEQLClassifier,0.6380000000000001
SmallMiddle_CAR,global_mean,GS,MrSEQLClassifier,0.517
SmallMiddle_CAR,global_mean,IG,MrSEQLClassifier,0.514
SmallMiddle_CAR,global_mean,lime_rocket,MrSEQLClassifier,0.5910000000000001
SmallMiddle_CAR,global_mean,ridgecv,MrSEQLClassifier,0.49799999999999994
SmallMiddle_CAR,global_mean,random2020,MrSEQLClassifier,0.6930000000000001
SmallMiddle_CAR,global_gaussian,lime_mrseql,MrSEQLClassifier,0.5700000000000001
SmallMiddle_CAR,global_gaussian,mrseql,MrSEQLClassifier,0.637
SmallMiddle_CAR,global_gaussian,GS,MrSEQLClassifier,0.496
SmallMiddle_CAR,global_gaussian,IG,MrSEQLClassifier,0.5
SmallMiddle_CAR,global_gaussian,lime_rocket,MrSEQLClassifier,0.561
SmallMiddle_CAR,global_gaussian,ridgecv,MrSEQLClassifier,0.49699999999999994
SmallMiddle_CAR,global_gaussian,random2020,MrSEQLClassifier,0.643
SmallMiddle_CAR,local_gaussian,lime_mrseql,MrSEQLClassifier,0.5895
SmallMiddle_CAR,local_gaussian,mrseql,MrSEQLClassifier,0.6615000000000001
SmallMiddle_CAR,local_gaussian,GS,MrSEQLClassifier,0.5165000000000001
SmallMiddle_CAR,local_gaussian,IG,MrSEQLClassifier,0.5205
SmallMiddle_CAR,local_gaussian,lime_rocket,MrSEQLClassifier,0.5755
SmallMiddle_CAR,local_gaussian,ridgecv,MrSEQLClassifier,0.5055000000000001
SmallMiddle_CAR,local_gaussian,random2020,MrSEQLClassifier,0.7044999999999999
SmallMiddle_CAR,local_mean,lime_mrseql,weasel,0.787
SmallMiddle_CAR,local_mean,mrseql,weasel,0.792
SmallMiddle_CAR,local_mean,GS,weasel,0.6929999999999998
SmallMiddle_CAR,local_mean,IG,weasel,0.692
SmallMiddle_CAR,local_mean,lime_rocket,weasel,0.7
SmallMiddle_CAR,local_mean,ridgecv,weasel,0.6719999999999999
SmallMiddle_CAR,local_mean,random2020,weasel,0.9169999999999999
SmallMiddle_CAR,global_mean,lime_mrseql,weasel,0.8450000000000001
SmallMiddle_CAR,global_mean,mrseql,weasel,0.825
SmallMiddle_CAR,global_mean,GS,weasel,0.712
SmallMiddle_CAR,global_mean,IG,weasel,0.715
SmallMiddle_CAR,global_mean,lime_rocket,weasel,0.742
SmallMiddle_CAR,global_mean,ridgecv,weasel,0.6909999999999998
SmallMiddle_CAR,global_mean,random2020,weasel,0.938
SmallMiddle_CAR,global_gaussian,lime_mrseql,weasel,0.8314999999999999
SmallMiddle_CAR,global_gaussian,mrseql,weasel,0.7835
SmallMiddle_CAR,global_gaussian,GS,weasel,0.6835
SmallMiddle_CAR,global_gaussian,IG,weasel,0.6805
SmallMiddle_CAR,global_gaussian,lime_rocket,weasel,0.7205000000000001
SmallMiddle_CAR,global_gaussian,ridgecv,weasel,0.6435
SmallMiddle_CAR,global_gaussian,random2020,weasel,0.9075
SmallMiddle_CAR,local_gaussian,lime_mrseql,weasel,0.7910000000000001
SmallMiddle_CAR,local_gaussian,mrseql,weasel,0.7849999999999999
SmallMiddle_CAR,local_gaussian,GS,weasel,0.644
SmallMiddle_CAR,local_gaussian,IG,weasel,0.641
SmallMiddle_CAR,local_gaussian,lime_rocket,weasel,0.688
SmallMiddle_CAR,local_gaussian,ridgecv,weasel,0.6279999999999999
SmallMiddle_CAR,local_gaussian,random2020,weasel,0.8920000000000001
