dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
CMJ,local_mean,rocket-shap,rocket,0,0.9664804469273743
CMJ,local_mean,rocket-shap,rocket,10,0.8379888268156425
CMJ,local_mean,rocket-shap,rocket,20,0.6312849162011173
CMJ,local_mean,rocket-shap,rocket,30,0.5307262569832403
CMJ,local_mean,rocket-shap,rocket,40,0.4301675977653631
CMJ,local_mean,rocket-shap,rocket,50,0.35195530726256985
CMJ,local_mean,rocket-shap,rocket,60,0.2905027932960894
CMJ,local_mean,rocket-shap,rocket,70,0.3016759776536313
CMJ,local_mean,rocket-shap,rocket,80,0.29608938547486036
CMJ,local_mean,rocket-shap,rocket,90,0.35195530726256985
CMJ,local_mean,rocket-shap,rocket,100,0.33519553072625696
CMJ,global_mean,rocket-shap,rocket,0,0.9664804469273743
CMJ,global_mean,rocket-shap,rocket,10,0.7541899441340782
CMJ,global_mean,rocket-shap,rocket,20,0.6312849162011173
CMJ,global_mean,rocket-shap,rocket,30,0.6145251396648045
CMJ,global_mean,rocket-shap,rocket,40,0.5418994413407822
CMJ,global_mean,rocket-shap,rocket,50,0.4860335195530726
CMJ,global_mean,rocket-shap,rocket,60,0.4301675977653631
CMJ,global_mean,rocket-shap,rocket,70,0.43575418994413406
CMJ,global_mean,rocket-shap,rocket,80,0.3687150837988827
CMJ,global_mean,rocket-shap,rocket,90,0.3407821229050279
CMJ,global_mean,rocket-shap,rocket,100,0.33519553072625696
CMJ,global_gaussian,rocket-shap,rocket,0,0.9664804469273743
CMJ,global_gaussian,rocket-shap,rocket,10,0.6256983240223464
CMJ,global_gaussian,rocket-shap,rocket,20,0.6201117318435754
CMJ,global_gaussian,rocket-shap,rocket,30,0.5363128491620112
CMJ,global_gaussian,rocket-shap,rocket,40,0.4581005586592179
CMJ,global_gaussian,rocket-shap,rocket,50,0.441340782122905
CMJ,global_gaussian,rocket-shap,rocket,60,0.40782122905027934
CMJ,global_gaussian,rocket-shap,rocket,70,0.3743016759776536
CMJ,global_gaussian,rocket-shap,rocket,80,0.35195530726256985
CMJ,global_gaussian,rocket-shap,rocket,90,0.33519553072625696
CMJ,global_gaussian,rocket-shap,rocket,100,0.33519553072625696
CMJ,local_gaussian,rocket-shap,rocket,0,0.9664804469273743
CMJ,local_gaussian,rocket-shap,rocket,10,0.6815642458100558
CMJ,local_gaussian,rocket-shap,rocket,20,0.5810055865921788
CMJ,local_gaussian,rocket-shap,rocket,30,0.5195530726256983
CMJ,local_gaussian,rocket-shap,rocket,40,0.4692737430167598
CMJ,local_gaussian,rocket-shap,rocket,50,0.44692737430167595
CMJ,local_gaussian,rocket-shap,rocket,60,0.4301675977653631
CMJ,local_gaussian,rocket-shap,rocket,70,0.43575418994413406
CMJ,local_gaussian,rocket-shap,rocket,80,0.3687150837988827
CMJ,local_gaussian,rocket-shap,rocket,90,0.3128491620111732
CMJ,local_gaussian,rocket-shap,rocket,100,0.30726256983240224
CMJ,local_mean,rocket-shap,resnet,0,0.9162011173184358
CMJ,local_mean,rocket-shap,resnet,10,0.7206703910614525
CMJ,local_mean,rocket-shap,resnet,20,0.6927374301675978
CMJ,local_mean,rocket-shap,resnet,30,0.6536312849162011
CMJ,local_mean,rocket-shap,resnet,40,0.6089385474860335
CMJ,local_mean,rocket-shap,resnet,50,0.5642458100558659
CMJ,local_mean,rocket-shap,resnet,60,0.49162011173184356
CMJ,local_mean,rocket-shap,resnet,70,0.39664804469273746
CMJ,local_mean,rocket-shap,resnet,80,0.33519553072625696
CMJ,local_mean,rocket-shap,resnet,90,0.329608938547486
CMJ,local_mean,rocket-shap,resnet,100,0.329608938547486
CMJ,global_mean,rocket-shap,resnet,0,0.9162011173184358
CMJ,global_mean,rocket-shap,resnet,10,0.7653631284916201
CMJ,global_mean,rocket-shap,resnet,20,0.6703910614525139
CMJ,global_mean,rocket-shap,resnet,30,0.547486033519553
CMJ,global_mean,rocket-shap,resnet,40,0.4748603351955307
CMJ,global_mean,rocket-shap,resnet,50,0.3743016759776536
CMJ,global_mean,rocket-shap,resnet,60,0.3463687150837989
CMJ,global_mean,rocket-shap,resnet,70,0.329608938547486
CMJ,global_mean,rocket-shap,resnet,80,0.329608938547486
CMJ,global_mean,rocket-shap,resnet,90,0.329608938547486
CMJ,global_mean,rocket-shap,resnet,100,0.329608938547486
CMJ,global_gaussian,rocket-shap,resnet,0,0.9162011173184358
CMJ,global_gaussian,rocket-shap,resnet,10,0.6536312849162011
