dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
CMJ,local_mean,ridgecv,weasel,0,0.9664804469273743
CMJ,local_mean,ridgecv,weasel,10,0.9441340782122905
CMJ,local_mean,ridgecv,weasel,20,0.9329608938547486
CMJ,local_mean,ridgecv,weasel,30,0.888268156424581
CMJ,local_mean,ridgecv,weasel,40,0.7988826815642458
CMJ,local_mean,ridgecv,weasel,50,0.6145251396648045
CMJ,local_mean,ridgecv,weasel,60,0.4022346368715084
CMJ,local_mean,ridgecv,weasel,70,0.329608938547486
CMJ,local_mean,ridgecv,weasel,80,0.329608938547486
CMJ,local_mean,ridgecv,weasel,90,0.329608938547486
CMJ,local_mean,ridgecv,weasel,100,0.329608938547486
CMJ,local_mean,rocket-shap,weasel,0,0.9664804469273743
CMJ,local_mean,rocket-shap,weasel,10,0.8994413407821229
CMJ,local_mean,rocket-shap,weasel,20,0.776536312849162
CMJ,local_mean,rocket-shap,weasel,30,0.5363128491620112
CMJ,local_mean,rocket-shap,weasel,40,0.39664804469273746
CMJ,local_mean,rocket-shap,weasel,50,0.3463687150837989
CMJ,local_mean,rocket-shap,weasel,60,0.329608938547486
CMJ,local_mean,rocket-shap,weasel,70,0.329608938547486
CMJ,local_mean,rocket-shap,weasel,80,0.329608938547486
CMJ,local_mean,rocket-shap,weasel,90,0.329608938547486
CMJ,local_mean,rocket-shap,weasel,100,0.329608938547486
CMJ,global_mean,ridgecv,weasel,0,0.9664804469273743
CMJ,global_mean,ridgecv,weasel,10,0.9273743016759777
CMJ,global_mean,ridgecv,weasel,20,0.8659217877094972
CMJ,global_mean,ridgecv,weasel,30,0.7653631284916201
CMJ,global_mean,ridgecv,weasel,40,0.5139664804469274
CMJ,global_mean,ridgecv,weasel,50,0.35195530726256985
CMJ,global_mean,ridgecv,weasel,60,0.329608938547486
CMJ,global_mean,ridgecv,weasel,70,0.329608938547486
CMJ,global_mean,ridgecv,weasel,80,0.329608938547486
CMJ,global_mean,ridgecv,weasel,90,0.329608938547486
CMJ,global_mean,ridgecv,weasel,100,0.329608938547486
CMJ,global_mean,rocket-shap,weasel,0,0.9664804469273743
