dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Coffee,local_mean,rocket-shap,rocket,0,1.0
Coffee,local_mean,rocket-shap,rocket,10,1.0
Coffee,local_mean,rocket-shap,rocket,20,1.0
Coffee,local_mean,rocket-shap,rocket,30,0.9642857142857143
Coffee,local_mean,rocket-shap,rocket,40,0.9285714285714286
Coffee,local_mean,rocket-shap,rocket,50,0.8214285714285714
Coffee,local_mean,rocket-shap,rocket,60,0.75
Coffee,local_mean,rocket-shap,rocket,70,0.6428571428571429
Coffee,local_mean,rocket-shap,rocket,80,0.6071428571428571
Coffee,local_mean,rocket-shap,rocket,90,0.5714285714285714
Coffee,local_mean,rocket-shap,rocket,100,0.5357142857142857
Coffee,global_mean,rocket-shap,rocket,0,1.0
Coffee,global_mean,rocket-shap,rocket,10,0.5357142857142857
Coffee,global_mean,rocket-shap,rocket,20,0.5357142857142857
Coffee,global_mean,rocket-shap,rocket,30,0.5714285714285714
Coffee,global_mean,rocket-shap,rocket,40,0.4642857142857143
Coffee,global_mean,rocket-shap,rocket,50,0.5357142857142857
Coffee,global_mean,rocket-shap,rocket,60,0.5
Coffee,global_mean,rocket-shap,rocket,70,0.4642857142857143
Coffee,global_mean,rocket-shap,rocket,80,0.4642857142857143
Coffee,global_mean,rocket-shap,rocket,90,0.4642857142857143
Coffee,global_mean,rocket-shap,rocket,100,0.5357142857142857
Coffee,global_gaussian,rocket-shap,rocket,0,1.0
Coffee,global_gaussian,rocket-shap,rocket,10,0.4642857142857143
Coffee,global_gaussian,rocket-shap,rocket,20,0.4642857142857143
Coffee,global_gaussian,rocket-shap,rocket,30,0.4642857142857143
Coffee,global_gaussian,rocket-shap,rocket,40,0.4642857142857143
Coffee,global_gaussian,rocket-shap,rocket,50,0.4642857142857143
Coffee,global_gaussian,rocket-shap,rocket,60,0.4642857142857143
Coffee,global_gaussian,rocket-shap,rocket,70,0.4642857142857143
Coffee,global_gaussian,rocket-shap,rocket,80,0.4642857142857143
Coffee,global_gaussian,rocket-shap,rocket,90,0.4642857142857143
Coffee,global_gaussian,rocket-shap,rocket,100,0.4642857142857143
Coffee,local_gaussian,rocket-shap,rocket,0,1.0
Coffee,local_gaussian,rocket-shap,rocket,10,0.75
Coffee,local_gaussian,rocket-shap,rocket,20,0.75
Coffee,local_gaussian,rocket-shap,rocket,30,0.7142857142857143
Coffee,local_gaussian,rocket-shap,rocket,40,0.6071428571428571
Coffee,local_gaussian,rocket-shap,rocket,50,0.5714285714285714
Coffee,local_gaussian,rocket-shap,rocket,60,0.5
Coffee,local_gaussian,rocket-shap,rocket,70,0.4642857142857143
Coffee,local_gaussian,rocket-shap,rocket,80,0.4642857142857143
Coffee,local_gaussian,rocket-shap,rocket,90,0.42857142857142855
Coffee,local_gaussian,rocket-shap,rocket,100,0.42857142857142855
Coffee,local_mean,rocket-shap,resnet,0,0.9642857142857143
Coffee,local_mean,rocket-shap,resnet,10,0.5
Coffee,local_mean,rocket-shap,resnet,20,0.5
Coffee,local_mean,rocket-shap,resnet,30,0.5
Coffee,local_mean,rocket-shap,resnet,40,0.5357142857142857
