dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Coffee,local_mean,ridgecv,weasel,0,1.0
Coffee,local_mean,ridgecv,weasel,10,1.0
Coffee,local_mean,ridgecv,weasel,20,1.0
Coffee,local_mean,ridgecv,weasel,30,0.9642857142857143
Coffee,local_mean,ridgecv,weasel,40,0.9285714285714286
Coffee,local_mean,ridgecv,weasel,50,1.0
Coffee,local_mean,ridgecv,weasel,60,0.9642857142857143
Coffee,local_mean,ridgecv,weasel,70,0.7142857142857143
Coffee,local_mean,ridgecv,weasel,80,0.5714285714285714
Coffee,local_mean,ridgecv,weasel,90,0.4642857142857143
Coffee,local_mean,ridgecv,weasel,100,0.4642857142857143
Coffee,local_mean,rocket-shap,weasel,0,1.0
Coffee,local_mean,rocket-shap,weasel,10,0.9642857142857143
Coffee,local_mean,rocket-shap,weasel,20,0.9642857142857143
Coffee,local_mean,rocket-shap,weasel,30,0.8928571428571429
Coffee,local_mean,rocket-shap,weasel,40,0.8571428571428571
Coffee,local_mean,rocket-shap,weasel,50,0.7142857142857143
Coffee,local_mean,rocket-shap,weasel,60,0.6071428571428571
Coffee,local_mean,rocket-shap,weasel,70,0.5
Coffee,local_mean,rocket-shap,weasel,80,0.4642857142857143
Coffee,local_mean,rocket-shap,weasel,90,0.4642857142857143
Coffee,local_mean,rocket-shap,weasel,100,0.4642857142857143
Coffee,global_mean,ridgecv,weasel,0,1.0
Coffee,global_mean,ridgecv,weasel,10,0.4642857142857143
Coffee,global_mean,ridgecv,weasel,20,0.4642857142857143
Coffee,global_mean,ridgecv,weasel,30,0.4642857142857143
Coffee,global_mean,ridgecv,weasel,40,0.4642857142857143
Coffee,global_mean,ridgecv,weasel,50,0.4642857142857143
Coffee,global_mean,ridgecv,weasel,60,0.4642857142857143
Coffee,global_mean,ridgecv,weasel,70,0.4642857142857143
Coffee,global_mean,ridgecv,weasel,80,0.4642857142857143
Coffee,global_mean,ridgecv,weasel,90,0.4642857142857143
Coffee,global_mean,ridgecv,weasel,100,0.4642857142857143
Coffee,global_mean,rocket-shap,weasel,0,1.0
Coffee,global_mean,rocket-shap,weasel,10,0.7142857142857143
Coffee,global_mean,rocket-shap,weasel,20,0.5357142857142857
Coffee,global_mean,rocket-shap,weasel,30,0.5
Coffee,global_mean,rocket-shap,weasel,40,0.4642857142857143
Coffee,global_mean,rocket-shap,weasel,50,0.4642857142857143
Coffee,global_mean,rocket-shap,weasel,60,0.4642857142857143
Coffee,global_mean,rocket-shap,weasel,70,0.4642857142857143
Coffee,global_mean,rocket-shap,weasel,80,0.4642857142857143
Coffee,global_mean,rocket-shap,weasel,90,0.4642857142857143
Coffee,global_mean,rocket-shap,weasel,100,0.4642857142857143
Coffee,global_gaussian,ridgecv,weasel,0,1.0
Coffee,global_gaussian,ridgecv,weasel,10,0.4642857142857143
Coffee,global_gaussian,ridgecv,weasel,20,0.4642857142857143
Coffee,global_gaussian,ridgecv,weasel,30,0.4642857142857143
Coffee,global_gaussian,ridgecv,weasel,40,0.4642857142857143
Coffee,global_gaussian,ridgecv,weasel,50,0.4642857142857143
Coffee,global_gaussian,ridgecv,weasel,60,0.4642857142857143
Coffee,global_gaussian,ridgecv,weasel,70,0.4642857142857143
Coffee,global_gaussian,ridgecv,weasel,80,0.4642857142857143
Coffee,global_gaussian,ridgecv,weasel,90,0.4642857142857143
Coffee,global_gaussian,ridgecv,weasel,100,0.4642857142857143
Coffee,global_gaussian,rocket-shap,weasel,0,1.0
Coffee,global_gaussian,rocket-shap,weasel,10,0.6428571428571429
Coffee,global_gaussian,rocket-shap,weasel,20,0.5357142857142857
Coffee,global_gaussian,rocket-shap,weasel,30,0.5
Coffee,global_gaussian,rocket-shap,weasel,40,0.4642857142857143
Coffee,global_gaussian,rocket-shap,weasel,50,0.4642857142857143
Coffee,global_gaussian,rocket-shap,weasel,60,0.4642857142857143
Coffee,global_gaussian,rocket-shap,weasel,70,0.4642857142857143
Coffee,global_gaussian,rocket-shap,weasel,80,0.4642857142857143
Coffee,global_gaussian,rocket-shap,weasel,90,0.4642857142857143
Coffee,global_gaussian,rocket-shap,weasel,100,0.4642857142857143
Coffee,local_gaussian,ridgecv,weasel,0,1.0
Coffee,local_gaussian,ridgecv,weasel,10,0.9642857142857143
Coffee,local_gaussian,ridgecv,weasel,20,0.9642857142857143
Coffee,local_gaussian,ridgecv,weasel,30,0.9285714285714286
Coffee,local_gaussian,ridgecv,weasel,40,0.9285714285714286
Coffee,local_gaussian,ridgecv,weasel,50,0.8928571428571429
Coffee,local_gaussian,ridgecv,weasel,60,0.6785714285714286
Coffee,local_gaussian,ridgecv,weasel,70,0.5714285714285714
Coffee,local_gaussian,ridgecv,weasel,80,0.5
Coffee,local_gaussian,ridgecv,weasel,90,0.4642857142857143
Coffee,local_gaussian,ridgecv,weasel,100,0.4642857142857143
Coffee,local_gaussian,rocket-shap,weasel,0,1.0
Coffee,local_gaussian,rocket-shap,weasel,10,0.9285714285714286
Coffee,local_gaussian,rocket-shap,weasel,20,0.8571428571428571
Coffee,local_gaussian,rocket-shap,weasel,30,0.75
Coffee,local_gaussian,rocket-shap,weasel,40,0.6785714285714286
Coffee,local_gaussian,rocket-shap,weasel,50,0.6785714285714286
Coffee,local_gaussian,rocket-shap,weasel,60,0.5714285714285714
Coffee,local_gaussian,rocket-shap,weasel,70,0.5
Coffee,local_gaussian,rocket-shap,weasel,80,0.4642857142857143
Coffee,local_gaussian,rocket-shap,weasel,90,0.5
Coffee,local_gaussian,rocket-shap,weasel,100,0.4642857142857143
