dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,rocket,0,0.76
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,rocket,10,0.73
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,rocket,20,0.7
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,rocket,30,0.69
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,rocket,40,0.64
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,rocket,50,0.65
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,rocket,60,0.59
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,rocket,70,0.53
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,rocket,80,0.5
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,rocket,90,0.51
Moving_SmallMiddle_CAR,local_mean,lime_mrseql,rocket,100,0.44
Moving_SmallMiddle_CAR,local_mean,mrseql,rocket,0,0.76
Moving_SmallMiddle_CAR,local_mean,mrseql,rocket,10,0.78
Moving_SmallMiddle_CAR,local_mean,mrseql,rocket,20,0.8
Moving_SmallMiddle_CAR,local_mean,mrseql,rocket,30,0.78
Moving_SmallMiddle_CAR,local_mean,mrseql,rocket,40,0.69
Moving_SmallMiddle_CAR,local_mean,mrseql,rocket,50,0.71
Moving_SmallMiddle_CAR,local_mean,mrseql,rocket,60,0.6
Moving_SmallMiddle_CAR,local_mean,mrseql,rocket,70,0.6
Moving_SmallMiddle_CAR,local_mean,mrseql,rocket,80,0.54
Moving_SmallMiddle_CAR,local_mean,mrseql,rocket,90,0.52
Moving_SmallMiddle_CAR,local_mean,mrseql,rocket,100,0.44
Moving_SmallMiddle_CAR,local_mean,GS,rocket,0,0.76
Moving_SmallMiddle_CAR,local_mean,GS,rocket,10,0.69
Moving_SmallMiddle_CAR,local_mean,GS,rocket,20,0.56
Moving_SmallMiddle_CAR,local_mean,GS,rocket,30,0.53
Moving_SmallMiddle_CAR,local_mean,GS,rocket,40,0.45
Moving_SmallMiddle_CAR,local_mean,GS,rocket,50,0.42
Moving_SmallMiddle_CAR,local_mean,GS,rocket,60,0.48
Moving_SmallMiddle_CAR,local_mean,GS,rocket,70,0.47
Moving_SmallMiddle_CAR,local_mean,GS,rocket,80,0.39
Moving_SmallMiddle_CAR,local_mean,GS,rocket,90,0.45
Moving_SmallMiddle_CAR,local_mean,GS,rocket,100,0.44
Moving_SmallMiddle_CAR,local_mean,IG,rocket,0,0.76
Moving_SmallMiddle_CAR,local_mean,IG,rocket,10,0.67
Moving_SmallMiddle_CAR,local_mean,IG,rocket,20,0.54
Moving_SmallMiddle_CAR,local_mean,IG,rocket,30,0.49
