dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
SmallMiddle_CAR,local_mean,rocket-shap,rocket,0,1.0
SmallMiddle_CAR,local_mean,rocket-shap,rocket,10,1.0
SmallMiddle_CAR,local_mean,rocket-shap,rocket,20,0.87
SmallMiddle_CAR,local_mean,rocket-shap,rocket,30,0.63
SmallMiddle_CAR,local_mean,rocket-shap,rocket,40,0.57
SmallMiddle_CAR,local_mean,rocket-shap,rocket,50,0.58
SmallMiddle_CAR,local_mean,rocket-shap,rocket,60,0.58
SmallMiddle_CAR,local_mean,rocket-shap,rocket,70,0.58
SmallMiddle_CAR,local_mean,rocket-shap,rocket,80,0.58
SmallMiddle_CAR,local_mean,rocket-shap,rocket,90,0.58
SmallMiddle_CAR,local_mean,rocket-shap,rocket,100,0.58
SmallMiddle_CAR,global_mean,rocket-shap,rocket,0,1.0
SmallMiddle_CAR,global_mean,rocket-shap,rocket,10,1.0
SmallMiddle_CAR,global_mean,rocket-shap,rocket,20,0.99
SmallMiddle_CAR,global_mean,rocket-shap,rocket,30,0.85
SmallMiddle_CAR,global_mean,rocket-shap,rocket,40,0.4
SmallMiddle_CAR,global_mean,rocket-shap,rocket,50,0.42
SmallMiddle_CAR,global_mean,rocket-shap,rocket,60,0.43
SmallMiddle_CAR,global_mean,rocket-shap,rocket,70,0.42
SmallMiddle_CAR,global_mean,rocket-shap,rocket,80,0.41
SmallMiddle_CAR,global_mean,rocket-shap,rocket,90,0.42
SmallMiddle_CAR,global_mean,rocket-shap,rocket,100,0.42
SmallMiddle_CAR,global_gaussian,rocket-shap,rocket,0,1.0
SmallMiddle_CAR,global_gaussian,rocket-shap,rocket,10,1.0
SmallMiddle_CAR,global_gaussian,rocket-shap,rocket,20,0.84
SmallMiddle_CAR,global_gaussian,rocket-shap,rocket,30,0.68
SmallMiddle_CAR,global_gaussian,rocket-shap,rocket,40,0.48
SmallMiddle_CAR,global_gaussian,rocket-shap,rocket,50,0.43
SmallMiddle_CAR,global_gaussian,rocket-shap,rocket,60,0.45
SmallMiddle_CAR,global_gaussian,rocket-shap,rocket,70,0.48
SmallMiddle_CAR,global_gaussian,rocket-shap,rocket,80,0.49
SmallMiddle_CAR,global_gaussian,rocket-shap,rocket,90,0.54
SmallMiddle_CAR,global_gaussian,rocket-shap,rocket,100,0.52
SmallMiddle_CAR,local_gaussian,rocket-shap,rocket,0,1.0
SmallMiddle_CAR,local_gaussian,rocket-shap,rocket,10,0.99
SmallMiddle_CAR,local_gaussian,rocket-shap,rocket,20,0.71
SmallMiddle_CAR,local_gaussian,rocket-shap,rocket,30,0.59
SmallMiddle_CAR,local_gaussian,rocket-shap,rocket,40,0.48
SmallMiddle_CAR,local_gaussian,rocket-shap,rocket,50,0.46
SmallMiddle_CAR,local_gaussian,rocket-shap,rocket,60,0.48
SmallMiddle_CAR,local_gaussian,rocket-shap,rocket,70,0.48
SmallMiddle_CAR,local_gaussian,rocket-shap,rocket,80,0.47
SmallMiddle_CAR,local_gaussian,rocket-shap,rocket,90,0.51
SmallMiddle_CAR,local_gaussian,rocket-shap,rocket,100,0.47
SmallMiddle_CAR,local_mean,rocket-shap,resnet,0,1.0
